event,M_final_Msun,chi_final
GW150914,63.1,0.69
GW151012,35.6,0.67
GW151226,20.5,0.74
GW170104,48.9,0.66
GW170608,17.8,0.69
GW170729,79.5,0.81
GW170809,56.3,0.7
GW170814,53.2,0.72
GW170817,2.8,0.89
GW170818,59.4,0.67
GW170823,65.4,0.72
GW190403_051519,102.2,0.91
GW190408_181802,41.4,0.67
GW190412,35.6,0.66
GW190413_052954,55.5,0.67
GW190413_134308,78.0,0.68
GW190421_213856,70.5,0.66
GW190426_190642,172.9,0.77
GW190503_185404,66.5,0.66
GW190512_180714,34.3,0.65
GW190513_205428,52.1,0.71
GW190514_065416,66.4,0.66
GW190517_055101,60.1,0.87
GW190519_153544,100.0,0.79
GW190521,147.4,0.62
GW190521_074359,72.6,0.71
GW190527_092055,55.5,0.71
GW190602_175927,110.5,0.72
GW190620_030421,88.0,0.8
GW190630_185205,56.6,0.7
GW190701_203306,90.2,0.66
GW190706_222641,107.3,0.78
GW190707_093326,19.2,0.66
GW190708_232457,30.1,0.68
GW190719_215514,54.5,0.76
GW190720_000836,20.8,0.71
GW190725_174728,17.6,0.65
GW190727_060333,65.4,0.73
GW190728_064510,19.7,0.71
GW190731_140936,67.4,0.71
GW190803_022701,62.1,0.68
GW190805_211137,72.4,0.82
GW190814,25.7,0.28
GW190828_063405,54.3,0.74
GW190828_065509,33.0,0.64
GW190910_112807,74.4,0.69
GW190915_235702,54.7,0.69
GW190916_200658,65.0,0.74
GW190917_114630,11.6,0.42
GW190924_021846,13.3,0.67
GW190925_232845,34.9,0.71
GW190926_050336,59.6,0.64
GW190929_012149,90.3,0.6
GW190930_133541,20.2,0.71
GW191103_012549,19.0,0.75
GW191105_143521,17.6,0.67
GW191109_010717,107.0,0.61
GW191113_071753,34.0,0.45
GW191126_115259,19.6,0.75
GW191127_050227,76.0,0.75
GW191129_134029,16.8,0.69
GW191204_110529,45.0,0.71
GW191204_171526,19.21,0.73
GW191215_223052,41.4,0.68
GW191216_213338,18.87,0.7
GW191219_163120,32.2,0.14
GW191222_033537,75.5,0.67
GW191230_180458,82.0,0.68
GW200105_162426,10.8,0.43
GW200112_155838,60.8,0.71
GW200115_042309,7.2,0.42
GW200128_022011,71.0,0.74
GW200129_065458,60.3,0.73
GW200202_154313,16.76,0.69
GW200208_130117,62.5,0.66
GW200208_222617,61.0,0.83
GW200209_085452,59.9,0.66
GW200210_092254,26.7,0.34
GW200216_220804,78.0,0.7
