i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,6.289666825114120002e+03,4.465571094664286420e+02,1.001031565618019840e+03,-4.465571094664286420e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.928343235368500497e-02,-1.114495589403604381e+00,4.465571094664286420e+02,-6.289666825114120002e+03
1,4.946906598615530129e+03,2.054280673353989926e+02,7.873246381835762122e+02,-2.054280673353989926e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.733974451515371662e-01,-9.828958462841891341e-01,2.054280673353989926e+02,-4.946906598615530129e+03
2,3.186600638011523188e+03,1.945272405267974705e+02,5.071632431993213572e+02,-1.945272405267974705e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.469799949219020352e-01,-7.359770054084441293e-01,1.945272405267974705e+02,-3.186600638011523188e+03
3,5.860705576016661325e+03,1.189439526409151853e+02,9.327602624292854898e+02,-1.189439526409151853e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.436139527443447417e-01,-1.019398252523615156e+00,1.189439526409151853e+02,-5.860705576016661325e+03
4,1.117548168015068222e+04,1.154144276444721555e+02,1.778633150828900853e+03,-1.154144276444721555e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.420120762180895779e-01,-4.130207373578491659e-01,1.154144276444721555e+02,-1.117548168015068222e+04
5,6.858150510030244732e+03,1.079228864155820560e+02,1.091508554139516718e+03,-1.079228864155820560e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.061317112888670589e-01,-1.021198300051277874e+00,1.079228864155820560e+02,-6.858150510030244732e+03
6,7.478084382782086323e+03,8.576895472840401169e+01,1.190174094378074187e+03,-8.576895472840401169e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.574919973012932406e-01,-9.881632232748300826e-01,8.576895472840401169e+01,-7.478084382782086323e+03
7,4.460157986878522934e+03,7.701282197332884039e+01,7.098561905825138183e+02,-7.701282197332884039e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.722515752853738147e-01,-9.029387244894645503e-01,7.701282197332884039e+01,-4.460157986878522934e+03
8,9.295762122371072110e+03,7.004472071391978716e+01,1.479466491581764330e+03,-7.004472071391978716e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.542990050432515581e-01,-7.789004642084331742e-01,7.004472071391978716e+01,-9.295762122371072110e+03
9,4.818019204466329029e+03,6.498079580987572967e+01,7.668115723024974386e+02,-6.498079580987572967e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.905134496294035973e-01,-9.379428968474891049e-01,6.498079580987572967e+01,-4.818019204466329029e+03
10,1.030858645153392172e+04,5.986197543381508268e+01,1.640662490051764735e+03,-5.986197543381508268e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.229924506104508986e-01,-5.935859502840726831e-01,5.986197543381508268e+01,-1.030858645153392172e+04
11,8.205721349025837981e+02,5.452334496727153379e+01,1.305981114332157915e+02,-5.452334496727153379e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.931323164955878635e-01,-2.016642747346333586e-01,5.452334496727153379e+01,-8.205721349025837981e+02
12,1.966376567171852912e+03,5.257225936352469375e+01,3.129585506454727692e+02,-5.257225936352469375e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.984190295732730203e-01,-4.678093724136921927e-01,5.257225936352469375e+01,-1.966376567171852912e+03
13,1.087784614369204064e+04,4.431258286940355617e+01,1.731262983961700002e+03,-4.431258286940355617e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.938881227167640997e-01,-4.720559339866552406e-01,4.431258286940355617e+01,-1.087784614369204064e+04
14,2.518667766346598000e+03,4.231915944807417418e+01,4.008584250202839598e+02,-4.231915944807417418e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.253089260844996833e-01,-5.828754583981876625e-01,4.231915944807417418e+01,-2.518667766346598000e+03
15,5.261266255018885204e+03,3.950099766146985303e+01,8.373565314088400555e+02,-3.950099766146985303e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.851486623046210478e-01,-9.685892030402557529e-01,3.950099766146985303e+01,-5.261266255018885204e+03
