i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,1.122982370006092970e+04,4.520912916301566611e+02,1.787281951915214904e+03,-4.520912916301566611e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.028572260939741856e+00,-4.347963613233373770e-01,4.520912916301566611e+02,-1.122982370006092970e+04
1,8.079865404757452779e+03,3.999147833105245127e+02,1.285950518684346207e+03,-3.999147833105245127e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.312120983887639536e-01,-1.014739559311241601e+00,3.999147833105245127e+02,-8.079865404757452779e+03
2,2.279640064245753365e+03,3.798297168149044296e+02,3.628159846950375140e+02,-3.798297168149044296e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.315843080347614436e-01,-5.795922823190662321e-01,3.798297168149044296e+02,-2.279640064245753365e+03
3,8.924965458987795500e+03,1.797155764698875373e+02,1.420452369722334197e+03,-1.797155764698875373e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.969769738683204929e-01,-8.575170892056083183e-01,1.797155764698875373e+02,-8.924965458987795500e+03
4,3.247811388424328015e+03,8.687581985134175966e+01,5.169052366978835380e+02,-8.687581985134175966e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.168095337075359730e-01,-7.276788477953485268e-01,8.687581985134175966e+01,-3.247811388424328015e+03
5,1.060380771455850845e+04,8.552583973105258508e+01,1.687648413367960302e+03,-8.552583973105258508e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.690296395404262242e-01,-5.361272162027305166e-01,8.552583973105258508e+01,-1.060380771455850845e+04
6,3.147301436562217532e+03,6.936517197355877329e+01,5.009085810291001621e+02,-6.936517197355877329e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.313150269002031134e-01,-7.068437973749358560e-01,6.936517197355877329e+01,-3.147301436562217532e+03
7,7.823101928745935766e+03,6.885891086610313039e+01,1.245085342271656145e+03,-6.885891086610313039e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.383168201046174994e-01,-9.590286072730989098e-01,6.885891086610313039e+01,-7.823101928745935766e+03
8,7.020886080779156146e+03,6.876198889978033435e+01,1.117408724641086792e+03,-6.876198889978033435e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.452148415085194877e-01,-1.006507748541942027e+00,6.876198889978033435e+01,-7.020886080779156146e+03
9,8.174177512469943849e+02,6.275753175621585456e+01,1.300960756820204551e+02,-6.275753175621585456e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.952861397570562652e-01,-2.013036648722461019e-01,6.275753175621585456e+01,-8.174177512469943849e+02
10,3.037043354805198305e+03,6.072798245392024086e+01,4.833604623016402684e+02,-6.072798245392024086e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.484949383570824732e-01,-6.854572712348044883e-01,6.072798245392024086e+01,-3.037043354805198305e+03
11,9.246027040781025789e+03,5.927266142968173313e+01,1.471550907501629581e+03,-5.927266142968173313e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.430998067393144391e-01,-7.847211284361511607e-01,5.927266142968173313e+01,-9.246027040781025789e+03
12,6.095993357995839688e+02,5.167525328524847339e+01,9.702074759803998916e+01,-5.167525328524847339e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.001501145510196977e+00,-1.501616978497943289e-01,5.167525328524847339e+01,-6.095993357995839688e+02
13,7.789606631133588962e+03,4.725602304563105349e+01,1.239754400086316991e+03,-4.725602304563105349e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-3.287247574979075826e-01,-9.567039945837062520e-01,4.725602304563105349e+01,-7.789606631133588962e+03
14,7.187158250946717999e+03,4.039769894217483426e+01,1.143871762421870926e+03,-4.039769894217483426e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.846587798386469803e-01,-9.928858977446821665e-01,4.039769894217483426e+01,-7.187158250946717999e+03
15,1.026309348269884322e+04,3.859493880149021550e+01,1.633422059185736316e+03,-3.859493880149021550e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.121214347842025116e-01,-5.995687211225608770e-01,3.859493880149021550e+01,-1.026309348269884322e+04
