i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,1.122982370006092970e+04,4.520912916301566611e+02,1.787281951915214904e+03,-4.520912916301566611e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.028572260939741856e+00,-4.347963613233373770e-01,4.520912916301566611e+02,-1.122982370006092970e+04
1,6.289666825114120002e+03,4.465571094664286420e+02,1.001031565618019840e+03,-4.465571094664286420e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.928343235368500497e-02,-1.114495589403604381e+00,4.465571094664286420e+02,-6.289666825114120002e+03
2,8.079865404757452779e+03,3.999147833105245127e+02,1.285950518684346207e+03,-3.999147833105245127e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.312120983887639536e-01,-1.014739559311241601e+00,3.999147833105245127e+02,-8.079865404757452779e+03
3,2.279640064245753365e+03,3.798297168149044296e+02,3.628159846950375140e+02,-3.798297168149044296e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.315843080347614436e-01,-5.795922823190662321e-01,3.798297168149044296e+02,-2.279640064245753365e+03
4,4.946906598615530129e+03,2.054280673353989926e+02,7.873246381835762122e+02,-2.054280673353989926e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.733974451515371662e-01,-9.828958462841891341e-01,2.054280673353989926e+02,-4.946906598615530129e+03
5,3.186600638011523188e+03,1.945272405267974705e+02,5.071632431993213572e+02,-1.945272405267974705e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.469799949219020352e-01,-7.359770054084441293e-01,1.945272405267974705e+02,-3.186600638011523188e+03
6,8.924965458987795500e+03,1.797155764698875373e+02,1.420452369722334197e+03,-1.797155764698875373e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.969769738683204929e-01,-8.575170892056083183e-01,1.797155764698875373e+02,-8.924965458987795500e+03
7,5.860705576016661325e+03,1.189439526409151853e+02,9.327602624292854898e+02,-1.189439526409151853e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.436139527443447417e-01,-1.019398252523615156e+00,1.189439526409151853e+02,-5.860705576016661325e+03
8,1.117548168015068222e+04,1.154144276444721555e+02,1.778633150828900853e+03,-1.154144276444721555e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.420120762180895779e-01,-4.130207373578491659e-01,1.154144276444721555e+02,-1.117548168015068222e+04
9,6.858150510030244732e+03,1.079228864155820560e+02,1.091508554139516718e+03,-1.079228864155820560e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.061317112888670589e-01,-1.021198300051277874e+00,1.079228864155820560e+02,-6.858150510030244732e+03
10,3.247811388424328015e+03,8.687581985134175966e+01,5.169052366978835380e+02,-8.687581985134175966e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.168095337075359730e-01,-7.276788477953485268e-01,8.687581985134175966e+01,-3.247811388424328015e+03
11,7.478084382782086323e+03,8.576895472840401169e+01,1.190174094378074187e+03,-8.576895472840401169e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.574919973012932406e-01,-9.881632232748300826e-01,8.576895472840401169e+01,-7.478084382782086323e+03
12,1.060380771455850845e+04,8.552583973105258508e+01,1.687648413367960302e+03,-8.552583973105258508e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.690296395404262242e-01,-5.361272162027305166e-01,8.552583973105258508e+01,-1.060380771455850845e+04
13,4.460157986878522934e+03,7.701282197332884039e+01,7.098561905825138183e+02,-7.701282197332884039e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.722515752853738147e-01,-9.029387244894645503e-01,7.701282197332884039e+01,-4.460157986878522934e+03
14,9.295762122371072110e+03,7.004472071391978716e+01,1.479466491581764330e+03,-7.004472071391978716e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-6.542990050432515581e-01,-7.789004642084331742e-01,7.004472071391978716e+01,-9.295762122371072110e+03
15,3.147301436562217532e+03,6.936517197355877329e+01,5.009085810291001621e+02,-6.936517197355877329e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.313150269002031134e-01,-7.068437973749358560e-01,6.936517197355877329e+01,-3.147301436562217532e+03
