i,omega_re,omega_im,freq_hz,damping_1_over_s,amp_abs,a_re,a_im,z_re,z_im,q_re,q_im
0,3.200765073009228672e+03,-1.157358451829817308e-02,5.094175830453100389e+02,1.157358451829817308e-02,7.218024099607318926e-132,2.461494341814978241e-132,6.785345791315640638e-132,7.099003370840183402e-01,-7.042981330797699613e-01,-1.157358451829817308e-02,-3.200765073009228672e+03
1,9.385072598160517373e+03,-8.428148841727084450e-02,1.493680695273543506e+03,8.428148841727084450e-02,1.580040230001845264e-03,-1.549708610093590349e-03,3.081076958241648982e-04,-6.597327615665934397e-01,-7.514729077564780146e-01,-8.428148841727084450e-02,-9.385072598160517373e+03
2,1.046574072092286042e+04,-1.643488448733462504e-01,1.665674368853009582e+03,1.643488448733462504e-01,2.806678115275887159e-132,-1.990139042206409212e-132,1.979087829141082443e-132,-8.328604037794743453e-01,-5.534106093821310468e-01,-1.643488448733462504e-01,-1.046574072092286042e+04
3,3.506988279530283762e+03,-2.310848301041403541e-01,5.581545200525862356e+02,2.310848301041403541e-01,2.065565310555141174e-03,-6.580171457252751615e-04,1.957951349778721487e-03,6.552768586817490082e-01,-7.553141137646245395e-01,-2.310848301041403541e-01,-3.506988279530283762e+03
4,5.730845283989552627e+03,-2.678788654096651012e-01,9.120923550418140167e+02,2.678788654096651012e-01,4.051891391675808894e-132,3.251693049053198219e-132,-2.417502050604226516e-132,1.708111304817211407e-01,-9.852374160730409391e-01,-2.678788654096651012e-01,-5.730845283989552627e+03
5,4.127228063881309026e+03,-3.505358327710025312e-01,6.568687476343030767e+02,3.505358327710025312e-01,5.267299487892824690e-132,4.788282762011305331e-132,2.194719136058506372e-132,5.338255708952600598e-01,-8.454934147767233510e-01,-3.505358327710025312e-01,-4.127228063881309026e+03
6,3.370951987741173639e+02,-3.701047595013940428e-01,5.365036717744579420e+01,3.701047595013940428e-01,3.039985080597718791e-131,-1.590948771810586095e-131,2.590442297317410977e-131,9.965253308327230997e-01,-8.219833405940957238e-02,-3.701047595013940428e-01,-3.370951987741173639e+02
7,1.962121007346275292e+03,-5.170607855066317038e-01,3.122812572636087793e+02,5.170607855066317038e-01,9.934765708238616723e-132,8.210310601100253226e-132,-5.593779537222997483e-132,8.873288219756543249e-01,-4.608634531754142172e-01,-5.170607855066317038e-01,-1.962121007346275292e+03
8,6.828513105320913382e+03,-5.238532355110000482e-01,1.086791614679611484e+03,5.238532355110000482e-01,8.232186661162789075e-04,2.123141483677945995e-04,-7.953688921784178058e-04,-9.615995985571146321e-02,-9.952374124392551202e-01,-5.238532355110000482e-01,-6.828513105320913382e+03
9,1.004034828683679734e+04,-5.645708849941091234e-01,1.597971060214319323e+03,5.645708849941091234e-01,2.583036695334784249e-132,-2.413523412618078018e-132,9.203169596342499772e-133,-7.709259880177243840e-01,-6.367083238145772039e-01,-5.645708849941091234e-01,-1.004034828683679734e+04
10,3.667036791537126192e+03,-5.804761518824519406e-01,5.836270318729777955e+02,5.804761518824519406e-01,5.531381158304023501e-132,7.274751896459123869e-134,-5.530902757861980595e-132,6.252174551452771567e-01,-7.802690166376644587e-01,-5.804761518824519406e-01,-3.667036791537126192e+03
11,2.692116179111228121e+03,-5.883678527122802038e-01,4.284635972832182347e+02,5.883678527122802038e-01,7.322217246644940026e-132,6.990008361331240629e-132,-2.180515653597549211e-132,7.915585925169859038e-01,-6.108582052207177648e-01,-5.883678527122802038e-01,-2.692116179111228121e+03
12,4.973488222021897855e+03,-6.027492033948416150e-01,7.915552349441069282e+02,6.027492033948416150e-01,8.143915875809340250e-04,7.332595775748231405e-04,-3.543501796491518039e-04,3.490067469432889813e-01,-9.369631917844298830e-01,-6.027492033948416150e-01,-4.973488222021897855e+03
13,3.490288267290475233e+03,-7.649553891446346787e-01,5.554966305549255594e+02,7.649553891446346787e-01,5.524366912503001524e-132,-1.122875703223697792e-132,-5.409046120996550383e-132,6.582651302516098202e-01,-7.525380885168945211e-01,-7.649553891446346787e-01,-3.490288267290475233e+03
14,1.612252143964064430e+02,-7.846313338812348492e-01,2.565978982223869309e+01,7.846313338812348492e-01,2.529722166542689235e-03,1.180684141427709808e-03,-2.237292827968334619e-03,9.990340375922794891e-01,-3.934392386330082259e-02,-7.846313338812348492e-01,-1.612252143964064430e+02
15,4.039682065343863087e+03,-7.919345502407384441e-01,6.429353692191527898e+02,7.919345502407384441e-01,5.583645667458890386e-04,-7.560559378776519896e-06,5.583133773600668657e-04,5.517139916003410693e-01,-8.338015707792897357e-01,-7.919345502407384441e-01,-4.039682065343863087e+03
