event,ifo,pole_source,mode_rank,freq_hz,damping_hz,tau_ms,omega_re,omega_im,amp_abs,relative_rms,M_final_Msun,chi_final,is_220_candidate,kerr_220_distance,kerr_220_chi_ref,omega_re_norm,omega_im_norm,sigma_freq_hz,sigma_damping_hz,sigma_M_final_Msun,sigma_chi_final
GW150914,community,community_ringdown_reference_table:community_ringdown_pilot:ok_posterior,0,259.79340035906904,269.5792579838652,3.7094842069038254,1632.3300760383265,-269.5792579838652,,,62.8947854783675,0.6067675788186017,True,0.03486144785973681,0.6067675788186017,0.5056757822263794,-0.0835123386832684,38.05536520943586,122.41229411498277,21.17967827950755,0.41013059794080686
GW170104,community,community_ringdown_reference_table:community_ringdown_t0_selected:ok_posterior,0,186.35525912707328,193.81120787647595,5.159660325925744,1170.9046260628713,-193.81120787647595,,,82.64191370161068,0.4608595016394539,True,0.03651551374095714,0.4608595016394539,0.47661907484911276,-0.07889124061630878,146.18689407894084,140.91705000604537,47.13804543164886,0.4394833293390913
GW170814,community,community_ringdown_reference_table:community_ringdown_t0_selected:ok_posterior,0,258.57252343752754,192.9788676147419,5.181914539971157,1624.6590801030222,-192.9788676147419,,,63.81781490838661,0.7206382397930899,True,0.006651733199659307,0.7206382397930899,0.5106857084863918,-0.06065983376924022,192.32194383847994,129.70998196206114,45.71795283153028,0.4625433734833687
GW170823,community,community_ringdown_reference_table:community_ringdown_single_pass:ok_posterior,0,199.40636311790556,211.9040038928934,4.719118004516086,1252.9071309005415,-211.9040038928934,,,76.57476515432445,0.4749515854051285,True,0.029780310741483823,0.4749515854051285,0.4725568758619792,-0.07992347684245038,171.97314851735564,142.77259337859059,46.872438430992844,0.43966502637659544
GW190408_181802,community,community_ringdown_reference_table:provisional,0,319.0,312.5,3.2,2004.336112990288,-312.5,,,41.4,0.67,True,0.08305756634702738,0.67,0.40871485681965153,-0.06372354014297002,,,,
GW190421_213856,community,community_ringdown_reference_table:community_ringdown_single_pass:ok_posterior,0,116.77673820346452,145.07930330250932,6.892781928479965,733.7298857003653,-145.07930330250932,,,121.90259603738912,0.2836636095725934,True,0.030775444090817904,0.2836636095725934,0.4405535400276115,-0.0871099867952785,25.723116527219858,34.248893560515285,22.337804373300692,0.34009455306188
GW190503_185404,community,community_ringdown_reference_table:community_ringdown_single_pass:ok_posterior,0,102.16537752461136,136.36573587315553,7.333220428115304,641.9239989650936,-136.36573587315553,,,130.91562962802442,0.20604350798273136,True,0.015287087383459078,0.20604350798273136,0.41392784589985004,-0.08793186638219544,16.31772367070706,16.816302017982224,13.646091645150982,0.2692887951999262
GW190512_180714,community,community_ringdown_reference_table:provisional,0,381.0,384.6153846153846,2.6,2393.893602035422,-384.6153846153846,,,34.3,0.65,True,0.08120404507979145,0.65,0.4044347798355558,-0.06497859314467101,,,,
GW190513_205428,community,community_ringdown_reference_table:provisional,0,241.0,232.55813953488374,4.3,1514.2476590302804,-232.55813953488374,,,52.1,0.71,True,0.11591201487371762,0.71,0.3885833305857092,-0.05967862382112101,,,,
GW190519_153544,community,community_ringdown_reference_table:provisional,0,127.0,105.26315789473684,9.5,797.9645340118075,-105.26315789473684,,,100.0,0.79,True,0.13783608529496708,0.79,0.3930367150977219,-0.051847273953090266,,,,
GW190521_074359,community,community_ringdown_reference_table:provisional,0,198.0,185.18518518518516,5.4,1244.0706908215582,-185.18518518518516,,,72.6,0.71,True,0.059380490269576966,0.71,0.44486804505407346,-0.06622049045453028,,,,
GW190602_175927,community,community_ringdown_reference_table:provisional,0,105.0,100.0,10.0,659.7344572538566,-100.0,,,110.5,0.72,True,0.14895695088551103,0.72,0.35907153440325346,-0.05442667583225652,,,,
GW190706_222641,community,community_ringdown_reference_table:provisional,0,108.0,91.74311926605505,10.9,678.5840131753953,-91.74311926605505,,,107.3,0.78,False,0.16917091292702346,0.78,0.3586351708061764,-0.048486714407415206,,,,
GW190708_232457,community,community_ringdown_reference_table:provisional,0,497.0,476.19047619047615,2.1,3122.7430976682544,-476.19047619047615,,,30.1,0.68,True,0.03163917233561197,0.68,0.46296939738955833,-0.07059870469945792,,,,
GW190727_060333,community,community_ringdown_reference_table:provisional,0,178.0,163.9344262295082,6.1,1118.4069846779664,-163.9344262295082,,,65.4,0.73,False,0.15111307766053025,0.73,0.3602692132122521,-0.052807723454188514,,,,
GW190828_063405,community,community_ringdown_reference_table:community_ringdown_single_pass:ok_posterior,0,197.70725067745255,198.5984444380063,5.035286166665601,1242.231292579441,-198.5984444380063,,,84.8411542174124,0.5990150140059536,True,0.05001170877951388,0.5990150140059536,0.5191090084164833,-0.08299118061274938,39.176915191359655,96.66724004449853,29.513905284712273,0.4368421769191718
GW190910_112807,community,community_ringdown_reference_table:provisional,0,177.0,169.4915254237288,5.9,1112.1237993707869,-169.4915254237288,,,74.4,0.69,True,0.09037257672947084,0.69,0.40754503100621114,-0.062111276661091876,,,,
GW190915_235702,community,community_ringdown_reference_table:provisional,0,232.0,217.3913043478261,4.6,1457.698991265664,-217.3913043478261,,,54.7,0.69,True,0.10543057361306868,0.69,0.3927396164784355,-0.05857051284722471,,,,
