pilot_role,event,status,template,param_source,best_mode_catalog,lnb_22_noise,snr_ringdown,param,median,p05,p95,n_samples,units_frame,evidence_base_mode,evidence_selected_mode,evidence_nominal_start,logB_selected_minus_base,note
requested_t66_t82a_overlap,NO_EVENT_AVAILABLE,NOT_AVAILABLE,,,,,,,,,,,pyRing release is O4a only; no overlap with T6.6 or T8.2a verified qnm_dataset.,,,,,NO_VERIFICADO for requested overlap pilot; using actual O4a pilot rows below.
table3_o4a_overlap_proxy,GW230628_231200,REDUCED,DS,event_summary_samples/events_summary_file.h5,1mode,15.632437223317883,7.880911315887654,f_22,220.79398427494323,199.67066063114302,233.07410833732177,6109,"Hz, detector-frame observed ringdown frequency",1mode,2mode,10.0,-2.0509799999999814,Proxy O4a pyRing reduction; not part of T6.6/T8.2a verified overlap.
table3_o4a_overlap_proxy,GW230628_231200,REDUCED,DS,event_summary_samples/events_summary_file.h5,1mode,15.632437223317883,7.880911315887654,tau_22,8.638258267669325,5.157468630857036,16.094708640211405,6109,"ms, detector-frame observed damping time",1mode,2mode,10.0,-2.0509799999999814,Proxy O4a pyRing reduction; not part of T6.6/T8.2a verified overlap.
table3_o4a_overlap_proxy,GW230628_231200,REDUCED,Kerr,event_summary_samples/events_summary_file.h5,220_np,15.632437223317883,7.880911315887654,Mf,88.20074388994102,63.49600436647066,108.56234113973942,7300,detector-frame (1+z)M_f [Msun],220_np,221_np,10.0,-0.9656000000104541,Proxy O4a pyRing reduction; not part of T6.6/T8.2a verified overlap.
table3_o4a_overlap_proxy,GW230628_231200,REDUCED,Kerr,event_summary_samples/events_summary_file.h5,220_np,15.632437223317883,7.880911315887654,af,0.8059421565496461,0.3287574117950753,0.9464041986588577,7300,dimensionless chi_f,220_np,221_np,10.0,-0.9656000000104541,Proxy O4a pyRing reduction; not part of T6.6/T8.2a verified overlap.
table3_o4a_overlap_proxy,GW230628_231200,REDUCED,Kerr,event_summary_samples/events_summary_file.h5,220_np,15.632437223317883,7.880911315887654,f_22,217.75943646420706,194.86786609506174,234.0712495993324,7300,"Hz, detector-frame observed ringdown frequency",220_np,221_np,10.0,-0.9656000000104541,Proxy O4a pyRing reduction; not part of T6.6/T8.2a verified overlap.
table3_o4a_overlap_proxy,GW230628_231200,REDUCED,Kerr,event_summary_samples/events_summary_file.h5,220_np,15.632437223317883,7.880911315887654,tau_22,5.771103117385745,3.5806077054219596,9.78598782952795,7300,"ms, detector-frame observed damping time",220_np,221_np,10.0,-0.9656000000104541,Proxy O4a pyRing reduction; not part of T6.6/T8.2a verified overlap.
table3_o4a_overlap_proxy,GW230628_231200,REDUCED,KerrPostmerger,event_summary_samples/events_summary_file.h5,22_21_33_44_55,15.632437223317883,7.880911315887654,Mf,86.91222660746928,77.90548167061667,94.50657836124344,7162,detector-frame (1+z)M_f [Msun],22,22_21_33_44_55,0.0,0.4588999999978114,Proxy O4a pyRing reduction; not part of T6.6/T8.2a verified overlap.
table3_o4a_overlap_proxy,GW230628_231200,REDUCED,KerrPostmerger,event_summary_samples/events_summary_file.h5,22_21_33_44_55,15.632437223317883,7.880911315887654,af,0.8477282468814931,0.7067617144100539,0.9209920765126439,7162,dimensionless chi_f,22,22_21_33_44_55,0.0,0.4588999999978114,Proxy O4a pyRing reduction; not part of T6.6/T8.2a verified overlap.
table3_o4a_overlap_proxy,GW230628_231200,REDUCED,KerrPostmerger,event_summary_samples/events_summary_file.h5,22_21_33_44_55,15.632437223317883,7.880911315887654,f_22,230.114502433476,216.70526514861712,241.9898951323791,7162,"Hz, detector-frame observed ringdown frequency",22,22_21_33_44_55,0.0,0.4588999999978114,Proxy O4a pyRing reduction; not part of T6.6/T8.2a verified overlap.
