event,mode_rank,f_obs_hz,sigma_f_obs_hz,f_kerr_hz,sigma_f_kerr_hz,gamma_obs_hz,sigma_gamma_obs_hz,gamma_kerr_hz,sigma_gamma_kerr_hz,residual_f,residual_gamma,max_abs_residual,kerr_sigma_source,verdict_kerr
GW150914,0,248.0,7.5,254.84374322932246,0.0,238.09523809523807,14.17233560090703,221.78357878965107,0.0,-0.9124990972429942,1.1509506806022187,1.1509506806022187,point_estimate,marginal
GW170104,0,287.0,20.0,322.7637986568499,0.0,285.7142857142857,28.571428571428573,293.8817514031049,0.0,-1.7881899328424935,-0.2858612991086707,1.7881899328424935,point_estimate,marginal
GW170814,0,293.0,12.5,308.2591795388674,0.0,270.27027027027026,18.261504747991232,254.42710057694626,0.0,-1.2207343631093908,0.8675719724064224,1.2207343631093908,point_estimate,marginal
GW170823,0,197.0,17.0,250.75517356984318,0.0,181.8181818181818,29.75206611570248,206.9651643836933,0.0,-3.162069033520187,-0.8452180251185802,3.162069033520187,point_estimate,strong_tension
GW190408_181802,0,319.0,15.5,383.63075447995305,0.0,312.5,29.296874999999993,344.091619233902,0.0,-4.169726095480843,-1.0783272698505222,4.169726095480843,point_estimate,strong_tension
GW190421_213856,0,162.0,14.0,223.8744646002831,0.0,158.73015873015873,25.195263290501387,203.84138501577058,0.0,-4.419604614305935,-1.7904645712759342,4.419604614305935,point_estimate,strong_tension
GW190503_185404,0,191.0,16.0,237.34059780932267,0.0,188.67924528301887,28.479886080455678,216.1025209565688,0.0,-2.896287363082667,-0.9628997670875222,2.896287363082667,point_estimate,tension
GW190512_180714,0,381.0,37.5,457.2590750195296,0.0,384.6153846153846,29.585798816568044,422.6309694151635,0.0,-2.033575333854122,-1.284926766232528,2.033575333854122,point_estimate,tension
GW190513_205428,0,241.0,27.0,312.7281951420712,0.0,232.55813953488374,40.562466197944836,262.7356834485864,0.0,-2.65659982007671,-0.743977049285817,2.65659982007671,point_estimate,tension
GW190519_153544,0,127.0,9.0,171.4313404342857,0.0,105.26315789473684,17.72853185595568,124.64470251848846,0.0,-4.936815603809521,-1.0932402514334898,4.936815603809521,point_estimate,strong_tension
GW190521,0,68.0,4.0,104.38599613106902,0.0,63.291139240506325,12.818458580355712,100.89902356122762,0.0,-9.096499032767255,-2.93388507557027,9.096499032767255,point_estimate,strong_tension
GW190521_074359,0,198.0,7.0,224.42340174796024,0.0,185.18518518518516,13.717421124828531,188.5472328880352,0.0,-3.7747716782800347,-0.24509327753776858,3.7747716782800347,point_estimate,strong_tension
GW190602_175927,0,105.0,9.5,148.41075431192527,0.0,100.0,17.0,122.49340950853883,0.0,-4.569553085465818,-1.323141735796402,4.569553085465818,point_estimate,strong_tension
GW190706_222641,0,108.0,10.5,158.7780490108363,0.0,91.74311926605505,19.35863984513088,117.59065805057463,0.0,-4.836004667698695,-1.3351939491255531,4.836004667698695,point_estimate,strong_tension
GW190708_232457,0,497.0,28.0,530.9460703196064,0.0,476.19047619047615,34.01360544217687,469.1019411613044,0.0,-1.2123596542716573,0.2084029298576491,1.2123596542716573,point_estimate,marginal
GW190727_060333,0,178.0,17.0,252.37978189653782,0.0,163.9344262295082,25.530771298038164,204.6256023503934,0.0,-4.375281288031637,-1.5938091194296187,4.375281288031637,point_estimate,strong_tension
GW190828_063405,0,239.0,10.5,305.9279396058823,0.0,208.33333333333334,23.87152777777778,243.63733032666508,0.0,-6.374089486274502,-1.4789165285933876,6.374089486274502,point_estimate,strong_tension
GW190910_112807,0,177.0,8.0,216.1376370668044,0.0,169.4915254237288,18.67279517380063,188.09870727993254,0.0,-4.8922046333505484,-0.9964861544837726,4.8922046333505484,point_estimate,strong_tension
GW190915_235702,0,232.0,16.0,293.97879703419096,0.0,217.3913043478261,33.08128544423441,255.8417517664896,0.0,-3.873674814636935,-1.1623020962555997,3.873674814636935,point_estimate,strong_tension
