event,mode_rank,f_obs_hz,sigma_f_obs_hz,f_kerr_hz,sigma_f_kerr_hz,gamma_obs_hz,sigma_gamma_obs_hz,gamma_kerr_hz,sigma_gamma_kerr_hz,residual_f,residual_gamma,max_abs_residual,kerr_sigma_source,verdict_kerr
GW150914,0,248.0,7.5,233.80159929295635,14.64423205616978,238.09523809523807,14.17233560090703,203.47117320151472,14.920631319569411,0.8629635794524696,1.6825246239592797,1.6825246239592797,propagated,marginal
GW170104,0,287.0,20.0,268.9698322140416,28.203229633576502,285.7142857142857,28.571428571428573,244.9014595025874,28.289674811491093,0.5214817530000329,1.0150584554967024,1.0150584554967024,propagated,marginal
GW170814,0,293.0,12.5,274.251939091519,20.659883180124442,270.27027027027026,18.261504747991232,226.35863040653578,22.49901965200075,0.7764115642267798,1.5153765715994187,1.5153765715994187,propagated,marginal
GW170823,0,197.0,17.0,186.85184319660445,29.98059452179273,181.8181818181818,29.75206611570248,154.22143396698453,28.572763383334948,0.2944482100681349,0.6690070079295317,0.6690070079295317,propagated,consistent
GW190408_181802,0,319.0,15.5,308.6329480932849,32.05083908308485,312.5,29.296874999999993,276.8235070264699,31.16286595308637,0.29119251815545083,0.8341115358050798,0.8341115358050798,propagated,consistent
GW190421_213856,0,162.0,14.0,165.0991626845746,31.594127209959414,158.73015873015873,25.195263290501387,150.32550517387213,30.772706399508973,-0.08968253257407152,0.21132429012366843,0.21132429012366843,propagated,consistent
GW190503_185404,0,191.0,16.0,177.3846022491201,30.13582827779064,188.67924528301887,28.479886080455678,161.51160011701705,31.117615800484153,0.3990455545830975,0.6440417065564098,0.6440417065564098,propagated,consistent
GW190512_180714,0,381.0,37.5,390.81972223891415,49.81541079796887,384.6153846153846,29.585798816568044,361.2230507821911,48.40448831863993,-0.15748741005200573,0.41234368445917335,0.41234368445917335,propagated,consistent
GW190513_205428,0,241.0,27.0,239.82223553839816,45.32318474933146,232.55813953488374,40.562466197944836,201.4844198225356,44.89285596107567,0.022324766951804794,0.5135848822382614,0.5135848822382614,propagated,consistent
GW190519_153544,0,127.0,9.0,118.22851064433493,17.70722019032332,105.26315789473684,17.72853185595568,85.96186380585411,16.888605029243454,0.4415955747558643,0.7882835823248424,0.7882835823248424,propagated,consistent
GW190521,0,68.0,4.0,57.1978060992159,17.68646614987439,63.291139240506325,12.818458580355712,55.28713619793295,18.441787024563958,0.5957152852309658,0.3563808609004125,0.5957152852309658,propagated,consistent
GW190521_074359,0,198.0,7.0,185.47388574211587,18.122249223596036,185.18518518518516,13.717421124828531,155.82415941159934,17.43132709485553,0.6447721387193375,1.3236719708272138,1.3236719708272138,propagated,marginal
GW190602_175927,0,105.0,9.5,90.2741814549424,17.683611686720933,100.0,17.0,74.50937318037641,18.72699178165809,0.7335815666071887,1.0078415630455388,1.0078415630455388,propagated,marginal
GW190706_222641,0,108.0,10.5,88.90148320875494,23.38591217316573,91.74311926605505,19.35863984513088,65.84023407087045,21.66173229021855,0.7450185585482286,0.8916206377330911,0.8916206377330911,propagated,consistent
GW190708_232457,0,497.0,28.0,443.5639685209744,44.896426914370196,476.19047619047615,34.01360544217687,391.8980293745233,41.57639865584975,1.00990213408329,1.5691932979168186,1.5691932979168186,propagated,marginal
GW190727_060333,0,178.0,17.0,187.78257581587638,30.345528260622995,163.9344262295082,25.530771298038164,152.2511922249951,29.253564123284697,-0.2812465884955419,0.3008993603054955,0.3008993603054955,propagated,consistent
GW190828_063405,0,239.0,10.5,224.61669574587538,31.827623657306592,208.33333333333334,23.87152777777778,178.88203401370416,28.07255022013894,0.4291616558657538,0.7992224979144349,0.7992224979144349,propagated,consistent
GW190910_112807,0,177.0,8.0,167.54855586573984,21.174943426475227,169.4915254237288,18.67279517380063,145.81295137979268,20.46313525526528,0.4175445673452388,0.8547535574755591,0.8547535574755591,propagated,consistent
GW190915_235702,0,232.0,16.0,227.89054033658218,30.457842476366235,217.3913043478261,33.08128544423441,198.32693935386794,29.798029820036614,0.11944487939583723,0.428191762236266,0.428191762236266,propagated,consistent
