event,mode_rank,f_obs_hz,sigma_f_obs_hz,f_kerr_hz,sigma_f_kerr_hz,gamma_obs_hz,sigma_gamma_obs_hz,gamma_kerr_hz,sigma_gamma_kerr_hz,residual_f,residual_gamma,max_abs_residual,kerr_sigma_source,verdict_kerr
GW150914,0,253.3,17.9,236.2376454784945,14.976240211189468,221.72949002217297,69.32119311114498,208.7208932587622,14.801501225642433,0.7310737030946435,0.1835200407310357,0.7310737030946435,propagated,consistent
GW170104,0,284.8,36.8,274.06925341622184,29.352274014121175,203.66598778004072,148.49780779074254,245.82214040178678,29.01990699739056,0.2279633616844384,-0.27861369692885685,0.27861369692885685,propagated,consistent
GW190519_153544,0,121.7,14.3,118.22851064433493,17.70722019032332,116.95906432748536,64.9772579597141,85.96186380585411,16.888605029243454,0.15252323755700734,0.46170622730077493,0.46170622730077493,propagated,consistent
GW190521_074359,0,204.0,24.4,185.47388574211587,18.122249223596036,182.14936247723134,63.038941476637426,155.82415941159934,17.43132709485553,0.6095383291672846,0.4024978431653734,0.6095383291672846,propagated,consistent
GW190630_185205,0,247.6,49.4,242.36224445014193,22.255476428766286,262.4671916010499,171.53367640068615,207.24585950543764,22.992789559411076,0.09667003750997359,0.31907336626123983,0.31907336626123983,propagated,consistent
GW190828_063405,0,252.4,20.3,221.68691275788575,31.412480740037385,156.00624024961,69.11976947096603,176.54879009178632,27.706386521615396,0.8211838353445386,-0.2758647915051895,0.8211838353445386,propagated,consistent
GW190910_112807,0,174.5,12.2,167.54855586573984,21.174943426475227,105.3740779768177,38.418789230747024,145.81295137979268,20.46313525526528,0.2844516839852642,-0.9290174281600072,0.9290174281600072,propagated,consistent
GW200129_065458,0,247.6,16.8,232.35595664217544,18.19244982494075,196.46365422396858,66.38850398138035,188.3905962288942,18.21111318185241,0.615598070570587,0.11727113790367315,0.615598070570587,propagated,consistent
GW200224_222234,0,195.8,11.0,182.01267848830636,19.55398261336487,145.1378809869376,54.137061558262644,147.57304920069393,18.61796662837096,0.6145274878512472,-0.04253641859592117,0.6145274878512472,propagated,consistent
GW200311_115853,0,239.8,23.1,221.58798674066762,21.288087857557716,190.83969465648855,224.71009847910958,192.84199836884366,21.946946558964058,0.5797556599363387,-0.00886841098239133,0.5797556599363387,propagated,consistent
