event,ifo,pole_source,mode_rank,freq_hz,damping_hz,tau_ms,M_final_Msun,chi_final,omega_re,omega_im,omega_re_norm,omega_im_norm,sigma_freq_hz,sigma_damping_hz,sigma_M_final_Msun,sigma_chi_final,raw_dir,boundary_h5,preferred_ringdown_dir,preferred_poles_joint_json,existing_t0_rel
GW150914,H1+L1,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,248.0,238.09523809523807,4.2,63.1,0.69,1558.2299561805373,-238.09523809523807,0.484295507655215,-0.07399963897899992,7.5,14.17233560090703,,,/home/adnac/ringest/data/gwosc_events/GW150914/raw,/home/adnac/ringest/data/gwosc_events/GW150914/boundary/data_boundary/GW150914_boundary.h5,/home/adnac/ringest/data/gwosc_events/GW150914/boundary/ringdown_calibrated_v1,/home/adnac/ringest/data/gwosc_events/GW150914/boundary/ringdown_calibrated_v1/poles_joint.json,0.02621279525756836
GW170104,H1+L1,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,287.0,285.7142857142857,3.5,48.9,0.66,1803.2741831605413,-285.7142857142857,0.43433032840125657,-0.06881614604259453,20.0,28.571428571428573,,,/home/adnac/ringest/data/gwosc_events/GW170104/raw,/home/adnac/ringest/data/gwosc_events/GW170104/boundary/data_boundary/GW170104_boundary.h5,/home/adnac/ringest/data/gwosc_events/GW170104/boundary/ringdown_calibrated_v1,/home/adnac/ringest/data/gwosc_events/GW170104/boundary/ringdown_calibrated_v1/poles_joint.json,-0.41504482650756835
GW170814,H1+L1+V1,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,293.0,270.27027027027026,3.7,53.2,0.72,1840.9732950036187,-270.27027027027026,0.4824015039572638,-0.07082057366457249,12.5,18.261504747991232,,,/home/adnac/ringest/data/gwosc_events/GW170814/raw,/home/adnac/ringest/data/gwosc_events/GW170814/boundary/data_boundary/GW170814_boundary.h5,/home/adnac/ringest/data/gwosc_events/GW170814/boundary/ringdown_calibrated_v1,/home/adnac/ringest/data/gwosc_events/GW170814/boundary/ringdown_calibrated_v1/poles_joint.json,0.03578515625
GW170823,H1+L1,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,197.0,181.8181818181818,5.5,65.4,0.72,1237.7875055143784,-181.8181818181818,0.39872491574614405,-0.058568566012827256,17.0,29.75206611570248,,,/home/adnac/ringest/data/gwosc_events/GW170823/raw,/home/adnac/ringest/data/gwosc_events/GW170823/boundary/data_boundary/GW170823_boundary.h5,/home/adnac/ringest/data/gwosc_events/GW170823/boundary/ringdown,/home/adnac/ringest/data/gwosc_events/GW170823/boundary/ringdown/poles_joint.json,-0.1328125
GW190408_181802,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,319.0,312.5,3.2,41.4,0.67,2004.336112990288,-312.5,0.40871485681965153,-0.06372354014297002,15.5,29.296874999999993,,,/home/adnac/ringest/data/gwosc_events/GW190408_181802/raw,/home/adnac/ringest/data/gwosc_events/GW190408_181802/boundary/data_boundary/GW190408_181802_boundary.h5,/home/adnac/ringest/data/gwosc_events/GW190408_181802/boundary/ringdown,/home/adnac/ringest/data/gwosc_events/GW190408_181802/boundary/ringdown/poles_joint.json,0.4582030773162842
GW190421_213856,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,162.0,158.73015873015873,6.3,70.5,0.66,1017.8760197630929,-158.73015873015873,0.3534545136323687,-0.05511859004774954,14.0,25.195263290501387,,,/home/adnac/ringest/data/gwosc_events/GW190421_213856/raw,/home/adnac/ringest/data/gwosc_events/GW190421_213856/boundary/data_boundary/GW190421_213856_boundary.h5,/home/adnac/ringest/data/gwosc_events/GW190421_213856/boundary/ringdown,/home/adnac/ringest/data/gwosc_events/GW190421_213856/boundary/ringdown/poles_joint.json,0.04658198356628418
GW190503_185404,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,191.0,188.67924528301887,5.3,66.5,0.66,1200.088393671301,-188.67924528301887,0.3930831367569855,-0.06180097230163167,16.0,28.479886080455678,,,/home/adnac/ringest/data/gwosc_events/GW190503_185404/raw,/home/adnac/ringest/data/gwosc_events/GW190503_185404/boundary/data_boundary/GW190503_185404_boundary.h5,/home/adnac/ringest/data/gwosc_events/GW190503_185404/boundary/ringdown,/home/adnac/ringest/data/gwosc_events/GW190503_185404/boundary/ringdown/poles_joint.json,0.08173823356628418
GW190512_180714,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,381.0,384.6153846153846,2.6,34.3,0.65,2393.893602035422,-384.6153846153846,0.4044347798355558,-0.06497859314467101,37.5,29.585798816568044,,,/home/adnac/ringest/data/gwosc_events/GW190512_180714/raw,/home/adnac/ringest/data/gwosc_events/GW190512_180714/boundary/data_boundary/GW190512_180714_boundary.h5,/home/adnac/ringest/data/gwosc_events/GW190512_180714/boundary/ringdown,/home/adnac/ringest/data/gwosc_events/GW190512_180714/boundary/ringdown/poles_joint.json,0.40883779525756836
GW190513_205428,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,241.0,232.55813953488374,4.3,52.1,0.71,1514.2476590302804,-232.55813953488374,0.3885833305857092,-0.05967862382112101,27.0,40.562466197944836,,,/home/adnac/ringest/data/gwosc_events/GW190513_205428/raw,/home/adnac/ringest/data/gwosc_events/GW190513_205428/boundary/data_boundary/GW190513_205428_boundary.h5,/home/adnac/ringest/data/gwosc_events/GW190513_205428/boundary/ringdown,/home/adnac/ringest/data/gwosc_events/GW190513_205428/boundary/ringdown/poles_joint.json,-0.07353520393371582
GW190519_153544,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,127.0,105.26315789473684,9.5,100.0,0.79,797.9645340118075,-105.26315789473684,0.3930367150977219,-0.051847273953090266,9.0,17.72853185595568,,,/home/adnac/ringest/data/gwosc_events/GW190519_153544/raw,/home/adnac/ringest/data/gwosc_events/GW190519_153544/boundary/data_boundary/GW190519_153544_boundary.h5,/home/adnac/ringest/data/gwosc_events/GW190519_153544/boundary/ringdown,/home/adnac/ringest/data/gwosc_events/GW190519_153544/boundary/ringdown/poles_joint.json,-0.14692378044128418
