event,ifo,pole_source,mode_rank,freq_hz,damping_hz,tau_ms,omega_re,omega_im,amp_abs,relative_rms,M_final_Msun,chi_final,is_220_candidate,kerr_220_distance,kerr_220_chi_ref,omega_re_norm,omega_im_norm,sigma_freq_hz,sigma_damping_hz,sigma_M_final_Msun,sigma_chi_final
GW150914,H1+L1,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,259.79340035906904,269.5792579838652,4.2,1558.2299561805373,-238.09523809523807,,,62.8947854783675,0.6067675788186017,True,0.014293736215951786,0.69,0.5056757744706943,-0.08351233740241727,7.5,14.17233560090703,,
GW170104,H1+L1,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,186.35525912707328,193.81120787647595,3.5,1803.2741831605413,-285.7142857142857,,,82.64191370161068,0.4608595016394539,True,0.054158743418901915,0.66,0.4766190675390783,-0.07889123940633268,20.0,28.571428571428573,,
GW170814,H1+L1+V1,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,258.57252343752754,192.9788676147419,3.7,1840.9732950036187,-270.27027027027026,,,63.81781490838661,0.7206382397930899,True,0.025463739378638023,0.72,0.5106857006538682,-0.060659832838884084,12.5,18.261504747991232,,
GW170823,H1+L1,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,199.40636311790556,211.9040038928934,5.5,1237.7875055143784,-181.8181818181818,,,76.57476515432445,0.4749515854051285,True,0.10910076960443615,0.72,0.47255686861424767,-0.07992347561664259,17.0,29.75206611570248,,
GW190408_181802,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,319.0,312.5,3.2,2004.336112990288,-312.5,,,41.4,0.67,True,0.08305756634702738,0.67,0.4087148505510822,-0.063723539165625,15.5,29.296874999999993,,
GW190421_213856,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,116.77673820346452,145.07930330250932,6.3,1017.8760197630929,-158.73015873015873,,,121.90259603738912,0.2836636095725934,True,0.13590461913730822,0.66,0.4405535332707237,-0.08710998545924928,14.0,25.195263290501387,,
GW190503_185404,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,102.16537752461136,136.36573587315553,5.3,1200.088393671301,-188.67924528301887,,,130.91562962802442,0.20604350798273136,True,0.09579226067232711,0.66,0.4139278395513278,-0.08793186503356085,16.0,28.479886080455678,,
GW190512_180714,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,381.0,384.6153846153846,2.6,2393.893602035422,-384.6153846153846,,,34.3,0.65,True,0.08120404507979145,0.65,0.4044347736326312,-0.06497859214807691,37.5,29.585798816568044,,
GW190513_205428,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,241.0,232.55813953488374,4.3,1514.2476590302804,-232.55813953488374,,,52.1,0.71,True,0.11591201487371762,0.71,0.3885833246259025,-0.05967862290581396,27.0,40.562466197944836,,
GW190519_153544,literature,Tests of General Relativity with Binary Black Holes from the second LIGO-Virgo Gravitational-Wave Transient Catalog,0,127.0,105.26315789473684,9.5,797.9645340118075,-105.26315789473684,,,100.0,0.79,True,0.13783608529496708,0.79,0.3930367090696125,-0.05184727315789474,9.0,17.72853185595568,,
